grad_norm,param_norm,samples,step,train_loss,train_mse,val_loss,val_mse
4.679253873098294,52.087207031146,256,0,1.0097956657409668,1.0097956657409668,0.9939894795417789,0.9939894795417789
4.371703340829405,52.11324083118194,13056,50,0.7952136671543121,0.7952136671543121,0.5815279364585876,0.5815279364585876
3.40600322422479,52.177419502296125,25856,100,0.4242319428920745,0.4242319428920745,0.2844537091255188,0.2844537091255188
2.2641032300694013,52.23061895020358,38656,150,0.21281950265169133,0.21281950265169133,0.13994252085685732,0.13994252085685732
1.4076726763785428,52.27682439558251,51456,200,0.11183599188923837,0.11183599188923837,0.07687349289655691,0.07687349289655691
0.8360444212940863,52.314937672856445,64256,250,0.0720137224346399,0.0720137224346399,0.051717235818505305,0.051717235818505305
0.502944638027232,52.345015873592345,77056,300,0.05578894063830379,0.05578894063830379,0.04252272751182317,0.04252272751182317
0.3511537087569559,52.36526943940281,89856,350,0.047106217294931405,0.047106217294931405,0.03984190646559,0.03984190646559
0.2919148134209095,52.382596780468,102656,400,0.04446561343967915,0.04446561343967915,0.03669349547475576,0.03669349547475576
0.3015738069109829,52.39755230746504,115456,450,0.04323142237961292,0.04323142237961292,0.036870831735432145,0.036870831735432145
0.27081239075271196,52.411409678227635,128256,500,0.042369257062673554,0.042369257062673554,0.0370019418373704,0.0370019418373704
0.2412459180398062,52.425164569872095,141056,550,0.04049413830041882,0.04049413830041882,0.035500655025243785,0.035500655025243785
0.258739754524423,52.43660870544713,153856,600,0.04041231013834478,0.04041231013834478,0.03459247212857006,0.03459247212857006
0.21629851185341167,52.44728960905425,166656,650,0.03788806483149529,0.03788806483149529,0.03437694109976294,0.03437694109976294
0.2309684860768652,52.457525948955784,179456,700,0.03719577185809615,0.03719577185809615,0.03370499845594167,0.03370499845594167
0.2166517905498417,52.46777386043294,192256,750,0.03687448725104331,0.03687448725104331,0.033809456638991826,0.033809456638991826
0.24828280759040042,52.47724081499159,205056,800,0.03666418325155972,0.03666418325155972,0.03325884781777861,0.03325884781777861
0.2076832783176426,52.48667862266103,217856,850,0.035393547639250754,0.035393547639250754,0.0319669984653592,0.0319669984653592
0.22755018860477136,52.49570203128076,230656,900,0.035386075489223,0.035386075489223,0.03193086981773376,0.03193086981773376
0.21082228293438213,52.505115151911625,243456,950,0.03498498503118753,0.03498498503118753,0.0313989558070898,0.0313989558070898
0.23489724425977612,52.5125725625391,256256,1000,0.03677791230380535,0.03677791230380535,0.03170157633721828,0.03170157633721828
0.22546592055042897,52.519422240457544,269056,1050,0.03377147745341063,0.03377147745341063,0.03257477927953008,0.03257477927953008
0.25520672621509927,52.52791916480176,281856,1100,0.036496986337006106,0.036496986337006106,0.030800142064690592,0.030800142064690592
0.2214275249134266,52.535987246913585,294656,1150,0.03443437866866587,0.03443437866866587,0.0314862149208784,0.0314862149208784
0.20607911170008567,52.54298719202642,307456,1200,0.03259836934506891,0.03259836934506891,0.03207497291266916,0.03207497291266916
0.2017702413030428,52.54981290591188,320256,1250,0.03337759647518397,0.03337759647518397,0.03130809724330903,0.03130809724330903
0.1940977373175427,52.558013560806714,333056,1300,0.03336196247488262,0.03336196247488262,0.030078360550105574,0.030078360550105574
0.24002235398119423,52.564876100577806,345856,1350,0.03346849214285611,0.03346849214285611,0.030232202410697937,0.030232202410697937
0.23593702528422333,52.570671772852236,358656,1400,0.033612527996301676,0.033612527996301676,0.032137666307389734,0.032137666307389734
0.1854775219627338,52.577486324436414,371456,1450,0.033046618402004235,0.033046618402004235,0.029900005906820296,0.029900005906820296
0.18866627853053056,52.58361540955365,384256,1500,0.03197572439908983,0.03197572439908983,0.03043618440628051,0.03043618440628051
0.231933084539895,52.58970189187724,397056,1550,0.032578555978834633,0.032578555978834633,0.030126855224370967,0.030126855224370967
0.24023462010781213,52.595899676912225,409856,1600,0.03193901631981135,0.03193901631981135,0.030245468690991408,0.030245468690991408
0.22238576201208682,52.60236089046774,422656,1650,0.03241868525743485,0.03241868525743485,0.03016288138926029,0.03016288138926029
0.1973197201605896,52.608375526476685,435456,1700,0.031956081390380885,0.031956081390380885,0.028942384645342826,0.028942384645342826
0.1873655530385749,52.61345184343556,448256,1750,0.03131798725575208,0.03131798725575208,0.02959071028977633,0.02959071028977633
0.2257939670455051,52.620056107860556,461056,1800,0.03283070523291825,0.03283070523291825,0.02906823296099902,0.02906823296099902
0.16652814390040377,52.62493627789089,473856,1850,0.030561772324144844,0.030561772324144844,0.02975626077502966,0.02975626077502966
0.18485958421333326,52.62969965504832,486656,1900,0.031602674797177314,0.031602674797177314,0.029302169047296052,0.029302169047296052
0.20341031104740784,52.63538218237734,499456,1950,0.031471574790775794,0.031471574790775794,0.029781818576157085,0.029781818576157085
0.19731304354646487,52.64120573294117,512256,2000,0.0315237883105874,0.0315237883105874,0.02903242088854313,0.02903242088854313
0.18986286288847376,52.64772203223407,525056,2050,0.03071378849446774,0.03071378849446774,0.029065199121832842,0.029065199121832842
0.17682981962807284,52.653083581002825,537856,2100,0.030746893733739844,0.030746893733739844,0.028365573436021797,0.028365573436021797
0.20233264574837329,52.6585535255034,550656,2150,0.03126975998282432,0.03126975998282432,0.02775221366435289,0.02775221366435289
0.19310791721820536,52.66444279791335,563456,2200,0.030699470341205588,0.030699470341205588,0.02791182141751052,0.02791182141751052
0.18579367237532557,52.67027093090889,576256,2250,0.030703187696635718,0.030703187696635718,0.029023156203329566,0.029023156203329566
0.21256736901004014,52.676697898531906,589056,2300,0.031244074739515782,0.031244074739515782,0.02815075192600488,0.02815075192600488
0.1955756867813237,52.68368062085771,601856,2350,0.030107150189578536,0.030107150189578536,0.028643866218626492,0.028643866218626492
0.19039514759867424,52.689176240008734,614656,2400,0.030321093089878563,0.030321093089878563,0.02809778057038785,0.02809778057038785
0.20848780113371662,52.69550340174248,627456,2450,0.030843219794332983,0.030843219794332983,0.02774240296334029,0.02774240296334029
0.19278254304699213,52.700962977055376,640256,2500,0.029793708883225918,0.029793708883225918,0.028035252206027508,0.028035252206027508
0.20966858576426403,52.70681132528947,653056,2550,0.030162987373769275,0.030162987373769275,0.028307971619069575,0.028307971619069575
0.18502456127844555,52.71197734832724,665856,2600,0.02916477009654045,0.02916477009654045,0.028042990118265144,0.028042990118265144
0.19440334215698798,52.71748044457643,678656,2650,0.030189514458179474,0.030189514458179474,0.026556169874966142,0.026556169874966142
0.1948482180822965,52.723170450195624,691456,2700,0.02986101917922497,0.02986101917922497,0.026713804006576528,0.026713804006576528
0.1641845416544913,52.72791896384233,704256,2750,0.02890810560435056,0.02890810560435056,0.027849971055984496,0.027849971055984496
0.18403161502475723,52.73303057941464,717056,2800,0.029269346520304683,0.029269346520304683,0.02915095023810863,0.02915095023810863
0.20103680644037178,52.73764079462553,729856,2850,0.029386918731033804,0.029386918731033804,0.027344454452395448,0.027344454452395448
0.17324716967473278,52.742261675181986,742656,2900,0.028824569657444954,0.028824569657444954,0.026713393032550825,0.026713393032550825
0.201678611066366,52.746256068003596,755456,2950,0.029862257577478887,0.029862257577478887,0.027614729292690755,0.027614729292690755
0.1955251400918919,52.7505793365788,768256,3000,0.02921989016234874,0.02921989016234874,0.028356322124600406,0.028356322124600406
0.1989029436185571,52.75554865970603,781056,3050,0.029601942226290697,0.029601942226290697,0.02728926382958889,0.02728926382958889
0.18081272902344364,52.75909051627785,793856,3100,0.028427793383598327,0.028427793383598327,0.027085302807390688,0.027085302807390688
0.1709017482843729,52.763167989129656,806656,3150,0.02898877929896116,0.02898877929896116,0.026870682053267956,0.026870682053267956
0.16604632218091075,52.76782536000596,819456,3200,0.027913656383752827,0.027913656383752827,0.026798741854727283,0.026798741854727283
0.1957044915235387,52.77179190116006,832256,3250,0.02950968712568282,0.02950968712568282,0.026724138557910924,0.026724138557910924
0.16317604601495303,52.776148810578235,845056,3300,0.02819818094372749,0.02819818094372749,0.027033862471580506,0.027033862471580506
0.16950366840344017,52.78021148667574,857856,3350,0.028024926073849203,0.028024926073849203,0.027298092246055602,0.027298092246055602
0.15553349490527718,52.78484628854267,870656,3400,0.027669998034834855,0.027669998034834855,0.025733457915484922,0.025733457915484922
0.21716616914000703,52.78863550724877,883456,3450,0.029648006595671184,0.029648006595671184,0.026856862902641294,0.026856862902641294
0.18859472061534138,52.79310659586116,896256,3500,0.028909917026758193,0.028909917026758193,0.02699626002460718,0.02699626002460718
0.1754571945051894,52.79861390386328,909056,3550,0.02925417426973582,0.02925417426973582,0.02670314673334361,0.02670314673334361
0.14888146941874164,52.80257836028549,921856,3600,0.028506130389869214,0.028506130389869214,0.02747905805706978,0.02747905805706978
0.18993119865972286,52.80628891122446,934656,3650,0.028245016336441036,0.028245016336441036,0.025516904592514027,0.025516904592514027
0.2252108833043668,52.80979728847816,947456,3700,0.0291217827796936,0.0291217827796936,0.026758036613464355,0.026758036613464355
